"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"518","SEE931261988564","Energiedienst AG","KW Wyhlen Straflo 01","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","12.11.1992","","In Betrieb","Wasser","","Wasser","Nein","ja","4,60","4,50",4.5,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"519","SEE934890098444","Energiedienst AG","KW Wyhlen Straflo 02","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","29.01.1993","","In Betrieb","Wasser","","Wasser","Nein","ja","4,60","4,50",4.5,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"520","SEE927287469774","Energiedienst AG","KW Wyhlen Straflo 03","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","15.04.1993","","In Betrieb","Wasser","","Wasser","Nein","ja","4,60","4,50",4.5,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"521","SEE982064123652","Energiedienst AG","KW Wyhlen Straflo 04","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","13.07.1993","","In Betrieb","Wasser","","Wasser","Nein","ja","4,60","4,50",4.5,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"522","SEE942749879687","Energiedienst AG","KW Wyhlen Straflo 05","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","16.09.1993","","In Betrieb","Wasser","","Wasser","Nein","ja","4,60","4,50",4.5,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"523","SEE925326526723","Energiedienst AG","KW Wyhlen Straflo 06","79639","Grenzach-Wyhlen","Am Wasserkraftwerk","","Baden-Württemberg","09.12.1993","","In Betrieb","Wasser","","Wasser","Nein","ja","4,60","4,50",4.5,"","Teileinspeisung (einschließlich Eigenverbrauch)","ED Netze GmbH (SNB945502201350)","Umspannebene Hochspannung/Mittelspannung"
"524","SEE931736847297","RWE Power AG","Neurath D","41517","Grevenbroich","Energiestraße","101","Nordrhein-Westfalen","24.06.1975","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","647,00","607,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"525","SEE976414005279","RWE Power AG","Neurath E","41517","Grevenbroich","Energiestraße","101","Nordrhein-Westfalen","22.02.1976","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","645,00","604,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"526","SEE925599434282","RWE Power AG","Neurath F","41517","Grevenbroich","Energiestraße","101","Nordrhein-Westfalen","03.08.2012","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Nein","nein","1.110,00","1.060,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"527","SEE993592183001","RWE Power AG","Neurath G","41517","Grevenbroich","Energiestraße","101","Nordrhein-Westfalen","08.07.2012","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Nein","nein","1.110,00","1.060,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
