"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"72","SEE963081865633","BES Bennewitz GmbH & Co. KG","BES BEN","04828","Bennewitz","Parkstraße","2","Sachsen","14.11.2018","","In Betrieb","Speicher","","Batteriespeicher","Nein","nein","16,43","16,43",NA,"","Volleinspeisung","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Mittelspannung"
"73","SEE964673859078","Donau-Wasserkraft AG","Bergheim E K1","86673","Bergheim","Förchenau","","Bayern","01.01.1970","","In Betrieb","Wasser","","Wasser","Nein","nein","8,30","7,90",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"74","SEE960680903568","Donau-Wasserkraft AG","Bergheim E K2","86673","Bergheim","Förchenau","","Bayern","01.01.1970","","In Betrieb","Wasser","","Wasser","Nein","nein","8,30","7,90",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"75","SEE920999677857","Donau-Wasserkraft AG","Bergheim E K3","86673","Bergheim","Förchenau","","Bayern","01.01.1970","","In Betrieb","Wasser","","Wasser","Nein","nein","8,30","7,90",NA,"","Volleinspeisung","DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607)","Hochspannung"
"76","SEE986936308987","Martinswerk GmbH","KWK-Anlage: Generator 1","50127","Bergheim","Kölner Straße","110","Nordrhein-Westfalen","01.01.1961","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","11,00","9,90",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"77","SEE975343602986","Martinswerk GmbH","KWK-Anlage: Generator 2","50127","Bergheim","Kölner Straße","110","Nordrhein-Westfalen","01.01.1961","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","11,00","9,90",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"78","SEE991627285584","Martinswerk GmbH","KWK-Anlage: Generator 4 (Gas)","50127","Bergheim","Kölner Straße","110","Nordrhein-Westfalen","01.01.1971","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,00","4,50",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"79","SEE975369197862","Martinswerk GmbH","Notstromaggregat","50127","Bergheim","Kölner Straße","110","Nordrhein-Westfalen","01.01.1961","","In Betrieb","Mineralölprodukte","Dieselkraftstoff","Mineralölprodukte","Ja","nein","1,12","0,76",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"80","SEE906830618081","RWE Power AG","Fab Fortuna","50129","Bergheim","Auenheimer Straße","","Nordrhein-Westfalen","01.06.1948","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","30,00","15,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"81","SEE921905907730","RWE Power AG","Niederaußem G","50129","Bergheim","Werkstr.","","Nordrhein-Westfalen","23.10.1974","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","668,00","628,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"82","SEE957229968300","RWE Power AG","Niederaußem H","50129","Bergheim","Werkstr.","","Nordrhein-Westfalen","16.09.1974","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","690,00","648,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"83","SEE983252937631","RWE Power AG","Niederaußem K","50129","Bergheim","Werkstr.","","Nordrhein-Westfalen","28.01.2003","","In Betrieb","Braunkohle","Rohbraunkohlen","Braunkohle","Ja","nein","998,00","944,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Amprion GmbH (SNB976890256486)","Höchstspannung"
"84","SEE942369834141","Zanders Paper GmbH","Kraftwerk Zanders Paper GmbH","51465","Bergisch Gladbach","An der Gohrsmühle","25","Nordrhein-Westfalen","01.01.1989","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","21,56","21,06",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Rheinische NETZGesellschaft mbH (SNB924477581384)","Hochspannung"
"85","SEE956906670420","E.ON Energy Solutions GmbH","BMHKW Bergkamen","59192","Bergkamen","Ernst-Schering-Straße","8","Nordrhein-Westfalen","27.09.2005","","In Betrieb","Biomasse","Wald-Stammholz, Rundholz","Biomasse","Ja","nein","20,00","18,47",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen (SNB935600499711)","Mittelspannung"
"86","SEE908238702164","Bayer AG Berlin","Turboeinheit 1 Dampfturbine 60 t Gen 10 MW","13353","Berlin","Müllerstraße","170","Berlin","01.06.1973","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","10,00","9,60",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"87","SEE971801168636","Bayer AG Berlin","Turboeinheit 2 Dampfturbine 40 t Gen 6 MW","13353","Berlin","Müllerstraße","170","Berlin","01.06.1973","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","6,00","5,70",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"88","SEE938639845887","BTB Blockheizkraftwerks-, Träger- und Betreibergesellschaft","HHKW Berlin-Neukölln","12355","Berlin","Köpenicker Straße","32","Berlin","15.10.2004","","In Betrieb","Biomasse","Wald-Stammholz, Rundholz","Biomasse","Ja","nein","21,64","21,63",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"89","SEE990308000553","Fernheizwerk Neukölln AG","Fernheizwerk 1-BHKW 4","12059","Berlin","Thiemannstr.","36","Berlin","05.11.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,07","2,03",NA,"Verbrennungsmotor","Volleinspeisung","Stromnetz Berlin GmbH (SNB979269087643)","Mittelspannung"
"90","SEE926990956885","Fernheizwerk Neukölln AG","Fernheizwerk 2-BHKW 5","12059","Berlin","Thiemannstr.","36","Berlin","05.11.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,03","2,03",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Mittelspannung"
"91","SEE994281911899","Fernheizwerk Neukölln AG","Fernheizwerk 3-BHKW 6","12059","Berlin","Thiemannstr.","36","Berlin","05.11.2013","","In Betrieb","Erdgas","","Erdgas","Ja","nein","2,03","2,03",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Mittelspannung"
"92","SEE998028907619","Fernheizwerk Neukölln AG","Fernheizwerk 4-BHKW 7","12059","Berlin","Thiemannstr.","36","Berlin","12.06.2014","","In Betrieb","Erdgas","","Erdgas","Ja","nein","2,04","2,01",NA,"Verbrennungsmotor","","Stromnetz Berlin GmbH (SNB979269087643)","Mittelspannung"
"93","SEE934292362181","Fernheizwerk Neukölln AG","Fernheizwerk 6-BHKW 8","12059","Berlin","Weigandufer","49","Berlin","14.07.2020","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,00","1,98",NA,"Verbrennungsmotor","Volleinspeisung","Stromnetz Berlin GmbH (SNB979269087643)","Mittelspannung"
"94","SEE929077603696","Vattenfall Wärme Berlin AG","GuD Lichterfelde Dampfturbine","12207","Berlin","Ostpreußendamm","61","Berlin","11.04.2019","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","125,00","115,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"95","SEE923401813959","Vattenfall Wärme Berlin AG","GuD Lichterfelde Gasturbine","12207","Berlin","Ostpreußendamm","61","Berlin","11.04.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","190,00","185,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"96","SEE982928435068","Vattenfall Wärme Berlin AG","GuD Marzahn Dampfturbine","12681","Berlin","Allee der Kosmonauten","26 B","Berlin","07.05.2020","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Wärme","Ja","nein","70,50","69,30",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"97","SEE937536026146","Vattenfall Wärme Berlin AG","GuD Marzahn Gasturbine","12681","Berlin","Allee der Kosmonauten","26 B","Berlin","07.05.2020","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","196,00","189,50",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"98","SEE926090463146","Vattenfall Wärme Berlin AG","HKW Charlottenburg Gasturbine 4","10589","Berlin","Am Spreebord","5","Berlin","03.02.1976","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","73,00","72,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"99","SEE962934119541","Vattenfall Wärme Berlin AG","HKW Charlottenburg Gasturbine 5","10589","Berlin","Am Spreebord","5","Berlin","20.08.1976","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","73,00","72,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"100","SEE997719859992","Vattenfall Wärme Berlin AG","HKW Klingenberg Dampfturbine 1","10317","Berlin","Köpenicker Chaussee","42-45","Berlin","13.08.1981","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","60,00","52,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"101","SEE988684097793","Vattenfall Wärme Berlin AG","HKW Klingenberg Dampfturbine 2","10317","Berlin","Köpenicker Chaussee","42-45","Berlin","24.11.1981","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","64,00","56,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"102","SEE965333653821","Vattenfall Wärme Berlin AG","HKW Klingenberg Dampfturbine 3","10317","Berlin","Köpenicker Chaussee","42-45","Berlin","19.08.1982","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","64,00","56,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"103","SEE992187994404","Vattenfall Wärme Berlin AG","HKW Mitte Dampfturbine","10179","Berlin","Köpenicker Straße","60","Berlin","08.09.1997","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","117,16","116,00",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"104","SEE904819420762","Vattenfall Wärme Berlin AG","HKW Mitte Gasturbine 1","10179","Berlin","Köpenicker Straße","60","Berlin","08.09.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","172,00","164,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"105","SEE948541471333","Vattenfall Wärme Berlin AG","HKW Mitte Gasturbine 2","10179","Berlin","Köpenicker Straße","60","Berlin","08.09.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","172,00","164,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"106","SEE981109871657","Vattenfall Wärme Berlin AG","HKW Moabit Dampfturbine","13353","Berlin","Friedrich-Krause-Ufer","42278","Berlin","27.02.1990","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","100,00","89,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"107","SEE963909310185","Vattenfall Wärme Berlin AG","HKW Moabit Gasturbine 5","13353","Berlin","Friedrich-Krause-Ufer","42278","Berlin","30.10.1971","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","17,00","17,00",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"108","SEE992645841813","Vattenfall Wärme Berlin AG","HKW Moabit Gasturbine 6","13353","Berlin","Friedrich-Krause-Ufer","42278","Berlin","27.11.1971","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","17,00","17,00",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"109","SEE989328541450","Vattenfall Wärme Berlin AG","HKW Reuter West Dampfturbine D","13599","Berlin","Großer Spreering","5","Berlin","14.12.1987","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","300,00","282,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","50Hertz Transmission GmbH (SNB982046657236); Stromnetz Berlin GmbH (SNB979269087643)","Höchstspannung; Hochspannung"
"110","SEE974883809046","Vattenfall Wärme Berlin AG","HKW Reuter West Dampfturbine E","13599","Berlin","Großer Spreering","5","Berlin","01.08.1988","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","300,00","282,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","50Hertz Transmission GmbH (SNB982046657236); Stromnetz Berlin GmbH (SNB979269087643)","Höchstspannung; Hochspannung"
"111","SEE988848971327","Vattenfall Wärme Berlin AG","HKW Reuter, Dampfturbine M","13599","Berlin","Otternbuchtstraße","11","Berlin","04.02.1998","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Abfall","Ja","nein","36,36","36,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stromnetz Berlin GmbH (SNB979269087643)","Hochspannung"
"112","SEE921877855527","Solvay Chemicals GmbH","Gasturbine 01 Industriekraftwerk","06406","Bernburg","Köthensche Straße","0,041666667","Sachsen-Anhalt","16.12.2019","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","63,50","58,50",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"113","SEE988178455061","Solvay Chemicals GmbH","Gasturbine 02 Industriekraftwerk","06406","Bernburg","Köthensche Straße","1A","Sachsen-Anhalt","26.09.2020","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","63,50","63,50",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"114","SEE966530598731","Solvay Chemicals GmbH","Gegendruckdampfturbine Industriekraftwerk","06406","Bernburg","Köthensche Straße","0,041666667","Sachsen-Anhalt","30.12.1994","","In Betrieb","Erdgas","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","21,70","21,70",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"115","SEE956268312785","Solvay Chemicals GmbH","Kondensationsturbine EKT","06406","Bernburg","Köthensche Straße","1","Sachsen-Anhalt","17.12.2009","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Abfall","Nein","nein","40,49","30,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Hochspannung"
"116","SEE986027519575","Stadtwerke Bernburg GmbH","BHKW Friedenshall M2","06406","Bernburg","Schachtstraße","40","Sachsen-Anhalt","16.10.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,00","1,96",NA,"Verbrennungsmotor","Volleinspeisung","Stadtwerke Bernburg GmbH (SNB953669866350)","Mittelspannung"
"117","SEE920885263676","Stadtwerke Bernburg GmbH","BHKW Friedenshall M3","06406","Bernburg","Schachtstraße","40","Sachsen-Anhalt","16.10.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,00","1,96",NA,"Verbrennungsmotor","Volleinspeisung","Stadtwerke Bernburg GmbH (SNB953669866350)","Mittelspannung"
"118","SEE981673107183","Stadtwerke Bernburg GmbH","BHKW Paul-Schneider-Straße","06406","Bernburg","","","Sachsen-Anhalt","17.01.2011","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","1,99","1,96",NA,"Verbrennungsmotor","Volleinspeisung","Stadtwerke Bernburg GmbH (SNB953669866350)","Mittelspannung"
"119","SEE988410265359","Stadtwerke Bernburg GmbH","BHKW Serumwerk","06406","Bernburg","","","Sachsen-Anhalt","08.01.2009","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,00","1,96",NA,"Verbrennungsmotor","Volleinspeisung","Stadtwerke Bernburg GmbH (SNB953669866350)","Mittelspannung"
"120","SEE908096553144","STEAG Battery System","GBS 2 KW Bexbach","66450","Bexbach","Grubenstraße","","Saarland","08.08.2016","","In Betrieb","Speicher","","Batteriespeicher","Nein","nein","15,00","15,00",NA,"","Volleinspeisung","Creos Deutschland GmbH (SNB940133714842)","Hochspannung"
"121","SEE990521990150","STEAG Battery System","GBS KW Bexbach","66450","Bexbach","Grubenstraße","","Saarland","25.09.2016","","In Betrieb","Speicher","","Batteriespeicher","Nein","nein","15,00","15,00",NA,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Höchstspannung"
"122","SEE971244426065","MVA Bielefeld-Herford GmbH","Turbine 1","33609","Bielefeld","Schelpmilser Weg","30","Nordrhein-Westfalen","12.10.2008","","In Betrieb","Biomasse","Feste biogene Stoffe und Abfälle (ohne Holz)","Biomasse","Ja","nein","39,47","34,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Bielefelder Netz GmbH (SNB918516395612)","Hochspannung"
"123","SEE944134692208","MVA Bielefeld-Herford GmbH","Turbine 2","33609","Bielefeld","","","Nordrhein-Westfalen","13.12.2001","","In Betrieb","Biomasse","Feste biogene Stoffe und Abfälle (ohne Holz)","Biomasse","Ja","nein","5,60","0,00",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Bielefelder Netz GmbH (SNB918516395612)","Hochspannung"
"124","SEE998402334093","Stadtwerke Bielefeld GmbH","Batterie HKW Bi Hybrid","33611","Bielefeld","Schildescher Straße","16","Nordrhein-Westfalen","07.07.2020","","In Betrieb","Speicher","","Batteriespeicher","Nein","nein","7,50","7,50",NA,"","Teileinspeisung (einschließlich Eigenverbrauch)","Bielefelder Netz GmbH (SNB918516395612)","Hochspannung"
"125","SEE972466462527","Stadtwerke Bielefeld GmbH","Dampfturbine - GuD MPE","33699","Bielefeld","Niedernholz","7","Nordrhein-Westfalen","03.01.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","9,45","9,35",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Bielefelder Netz GmbH (SNB918516395612)","Hochspannung"
